,Unnamed: 0,Name,ID,Sex,Emoji 1,Emoji 2,Emoji 3,Emoji 4,Emoji 5,Emoji 6,Emoji 7,Emoji 8,Emoji 9,Emoji 10
33,33,Gary Oldman,nm0000198,M,🎃,🌝,🌕,❤️,😱,🍀,🎅,🙌,👹,👺
34,34,Edward Norton,nm0001570,M,🌝,🎃,🌕,❤️,😱,🌛,🍀,🌚,🤘,💚
35,35,Heath Ledger,nm0005132,M,🌝,👺,👹,🎃,👅,❤️,🍀,🌕,🤘,🙌
36,36,Jared Leto,nm0001467,M,🎃,❤️,🙀,🙌,🌕,🌝,🎩,😱,💚,🍀
37,37,Jake Gyllenhaal,nm0350453,M,🌝,🌕,🎃,🌚,😱,🐼,🌛,🌜,❤️,💚
38,38,Joseph Gordon-Levitt,nm0330687,M,🌝,🌕,🎃,❤️,🌛,🌚,😱,💚,👺,🌜
39,39,Tom Hardy,nm0362766,M,🌝,🎃,🌕,👹,❤️,👺,🎩,🍀,😱,🙌
40,40,Paul Walker,nm0908094,M,🌟,🙌,🌝,🙏,🎃,🤘,💨,🙀,🌕,🙌🏼
41,41,Cillian Murphy,nm0614165,M,🌝,🌕,❤️,🌛,🌚,🎃,🌜,🌆,🌗,🎩
42,42,Chris Pine,nm1517976,M,🌝,🌕,🎃,🙀,❤️,🙌,💚,😱,🍀,🌚
43,43,Michael Fassbender,nm1055413,M,🎃,👹,❤️,🌝,👺,😱,👅,🌕,🍀,🎅
44,44,Tom Hiddleston,nm1089991,M,🌝,🎃,🌕,👺,😱,🌛,❤️,🌚,👹,🌜
45,45,Channing Tatum,nm1475594,M,🌝,🙌,❤️,🎃,🌕,🙆🏼,😱,👺,👹,🍀
46,46,Charlie Hunnam,nm0402271,M,🌝,🎃,🌕,❤️,🏰,🎅,💚,🙀,🍀,🌛
47,47,Chris Pratt,nm0695435,M,🎃,🌝,😱,🌕,👹,🌚,🌛,🌜,👺,🎴
48,48,Karl Urban,nm0881631,M,🌝,🌕,🌚,❤️,🎃,🌟,🌛,👾,😱,🌜
49,49,Chris Evans,nm0262635,M,🌝,🎃,🌕,🎩,🌟,🌚,❤️,🌛,🙌,🍀
50,50,Henry Cavill,nm0147147,M,🌝,🌕,🎃,🍀,🏰,❤️,🌚,🌟,🎅,🎩
51,51,Ben Affleck,nm0000255,M,🎃,🌝,🙀,🌕,🎅,🙌,😱,🌛,❤️,🙌🏼
52,52,Jason Momoa,nm0597388,M,🎃,🌝,🌕,🙌,🎩,🏰,🍀,👺,🎴,🌛
53,53,Ezra Miller,nm3009232,M,🎃,🌝,🌕,🎅,🙀,😱,🙌,👤,🎴,🌚
54,54,Armie Hammer,nm2309517,M,🌝,🎃,🌕,🙌,😱,👺,🌚,👤,🙀,🌛
55,55,Jesse Eisenberg,nm0251986,M,🌝,🌕,🙌,🌚,🙀,🙆🏼,🎃,🙆🏾,🤘,🌛
56,56,Sebastian Stan,nm1659221,M,🌝,🎃,🌕,😱,🍀,🏰,🙌,👤,👹,🌛
57,57,Jeremy Renner,nm0719637,M,🌝,🎃,🌕,👺,🌚,🌛,👹,❤️,🌜,😱
58,58,Mark Ruffalo,nm0749263,M,🌝,🙆🏼,🙌,🙌🏼,🙏,🌕,🙋🏾,🎃,🙆🏾,🌜
59,59,Ryan Reynolds,nm0005351,M,🎃,🌝,🌕,😱,❤️,🙋🏾,🙋🏼,👤,🙀,🙌
60,60,Mark Hamill,nm0000434,M,🌝,🌕,🎃,👹,👺,🌚,😱,🌛,🌜,🙌
61,61,Adam Driver,nm3485845,M,🎃,🌝,🙌,🌕,👹,❤️,👁‍🗨,🍀,🇦🇸,👤
62,62,Domhnall Gleeson,nm1727304,M,🎃,🙌,❤️,🌝,👺,💚,🐼,👹,😱,🍀
63,63,Andrew Garfield,nm1940449,M,🌝,👅,🙆🏼,🎃,🌕,🤘,🙌,🙇,🌚,🙀
64,64,Tobey Maguire,nm0001497,M,🌝,🎃,🙌,🌕,🎅,❤️,🤘,🙀,🌟,💚
65,65,Justin Timberlake,nm0005493,M,🙌,👅,🙎,🎅,🙀,🙆🏾,🤘,😂,😜,💚
66,66,Jamie Foxx,nm0004937,M,🎅,👅,🌝,🐼,❤️,🎃,🙆🏼,🙌,👹,🙎
67,67,Kevin Hart,nm0366389,M,🙌,🎃,🌝,🙆🏼,🎅,🌕,🙆🏾,🙀,🙏,🙌🏼
68,68,Scarlett Johansson,nm0424060,F,🎃,🌝,❤️,😱,🌕,🙆🏼,🎅,🍀,🐼,🙌
69,69,Jennifer Lawrence,nm2225369,F,❤️,🙀,👅,🎃,🌝,🙆🏼,🤘,🐼,🙌🏼,🙌
70,70,Charlize Theron,nm0000234,F,🌝,🌕,🎃,🌛,🌚,❤️,🌜,🤘,🌗,🙆🏼
71,71,Angelina Jolie,nm0001401,F,🐼,👹,❤️,🎃,👺,💚,🙌,🎎,👲🏾,🍀
72,72,Natalie Portman,nm0000204,F,💚,❤️,🌝,👅,🎅,🙌,🎃,🌕,🙆🏼,😱
73,73,Julia Roberts,nm0000210,F,❤️,💚,🎅,💛,👅,🎃,🍀,🐼,🌝,🙌
74,74,Emma Stone,nm1297015,F,🌝,😱,🙌,🎃,🎅,🌕,👅,👹,👺,🌚
75,75,Jennifer Aniston,nm0000098,F,🎅,💚,🌝,🙌,🎃,🙆🏼,❤️,🙋🏼,🐼,🌕
76,76,Emma Watson,nm0914612,F,🎃,🌝,🌕,🎩,🍀,🎍,🎅,👺,🙌,🌛
77,77,Mila Kunis,nm0005109,F,🎅,🙌,🎃,👅,💚,🌝,❤️,🙆🏾,🍀,🙆🏼
78,78,Amy Adams,nm0010736,F,🎃,🌝,❤️,🌕,🙌,💚,🐼,🎅,😱,🍀
79,79,Meryl Streep,nm0000658,F,🎃,🌝,❤️,🍀,🙆🏼,🌕,🙌,🎅,🐼,🙆🏾
80,80,Jessica Alba,nm0004695,F,🙌,🎃,🌝,💚,❤️,🍀,🎅,🌕,😱,👅
81,81,Keira Knightley,nm0461136,F,❤️,🎃,🙌,🌝,🌕,🎩,🍀,🙌🏼,💚,🌛
82,82,Sandra Bullock,nm0000113,F,🌝,🙌🏼,🙌,❤️,🎃,🙆🏼,🌕,🙋🏼,🌜,👅
83,83,Cate Blanchett,nm0000949,F,🌝,🎃,🌕,🍀,🎅,❤️,🙌,🙋🏼,🌛,🤘
84,84,Anne Hathaway,nm0004266,F,🎅,🎃,❤️,🌝,🎎,🐼,🙌,💚,🌕,😱
85,85,Kate Winslet,nm0000701,F,🎃,🌝,❤️,👅,👺,🌕,👹,🙀,🎅,😱
86,86,Megan Fox,nm1083271,F,🎃,🎎,🌝,🎅,❤️,😱,👹,🎏,👺,🙀
87,87,Rachel McAdams,nm1046097,F,❤️,💛,🙌,🎅,🌝,💚,👅,🎃,🙀,💑
88,88,Margot Robbie,nm3053338,F,🌝,🎃,🌕,🌚,🙀,🏰,💚,🙌,🌛,🍀
89,89,Rachel Weisz,nm0001838,F,🌝,❤️,🎃,🙆🏼,🌕,🙌🏼,💚,💛,🙆🏾,😱
90,90,nm0001838,nm2933757,F,🙀,🙎,🌟,🌝,🙌,🌕,🍀,😱,🎃,👨‍👩‍👦‍👦
91,91,Amber Heard,nm1720028,F,🌝,🌕,❤️,🎃,👅,🙌,🙀,🤘,🙌🏼,🐪
92,92,Emilia Clarke,nm3592338,F,🌝,🌛,👺,🎃,🌚,🐤,🐥,🌜,👹,🐣
93,93,Isla Fisher,nm0279545,F,👅,🌝,🎃,🎅,🌕,❤️,💚,🙀,🙌🏼,🙌
94,94,Lynda Carter,nm0004812,F,🎃,🎅,❤️,🌝,😱,🎎,🌕,🙀,🙌,🙌🏼
95,95,Robin Wright,nm0000705,F,🎅,🎃,❤️,🎎,🐼,🙀,💚,🍀,💛,🙌
96,96,Diane Lane,nm0000178,F,❤️,🎃,🌝,🌕,💚,🐼,🙀,👅,😱,💛
97,97,Emily Blunt,nm1289434,F,🌝,🎃,🌕,❤️,👺,🎅,👹,🎩,🍀,🐼
98,98,Anna Kendrick,nm0447695,F,🙌,🌝,🌕,🎃,🎅,🌛,🌜,🍀,🙆🏼,🙌🏼
99,99,Jessica Chastain,nm1567113,F,🌝,🎃,😱,🌕,❤️,🎅,🌚,🐼,🌛,🙀
